Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0],pcie/design_1_i/probe4_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX
0,0,0,00010009,00000000,00000000,00000150,00010001
1,1,1,00010009,00000001,00000000,00000350,00010001
2,2,0,00010009,00000001,00000000,00000150,00010001
3,3,0,00010009,00000001,00000000,00000150,00010001
4,4,0,00010009,00000001,00000000,00000150,00010001
5,5,0,00010009,00000001,00000000,00000150,00010001
6,6,0,00010009,00000001,00000000,00000150,00010001
7,7,0,00010009,00000001,00000000,00000150,00010001
8,8,0,00010009,00000001,00000000,00000150,00010001
9,9,0,00010009,00000001,00000000,00000150,00010001
10,10,0,00010009,00000001,00000000,00000150,00010001
11,11,0,00010009,00000001,00000000,00000150,00010001
12,12,0,00010009,00000001,00000000,00000150,00010001
13,13,0,00010009,00000001,00000000,00000150,00010001
14,14,0,00010009,00000001,00000000,00000150,00010001
15,15,0,00010009,00000001,00000000,00000150,00010001
16,16,0,00010009,00000001,00000000,00000150,00010001
17,17,0,00010009,00000001,00000000,00000150,00010001
18,18,0,00010009,00000001,00000000,00000150,00010001
19,19,0,00010009,00000001,00000000,00000150,00010001
20,20,0,00010009,00000001,00000000,00000150,00010001
21,21,0,00010009,00000001,00000000,00000150,00010001
22,22,0,00010009,00000001,00000000,00000150,00010001
23,23,0,00010009,00000001,00000000,00000150,00010001
24,24,0,00010009,00000001,00000000,00000150,00010001
25,25,0,00010009,00000001,00000000,00000150,00010001
26,26,0,00010009,00000001,00000000,00000150,00010001
27,27,0,00010009,00000001,00000000,00000150,00010001
28,28,0,00010009,00000001,00000000,00000150,00010001
29,29,0,00010009,00000001,00000000,00000150,00010001
30,30,0,00010009,00000001,00000000,00000150,00010001
31,31,0,00010009,00000001,00000000,00000150,00010001
32,32,0,00010009,00000001,00000000,00000150,00010001
33,33,0,00010009,00000001,00000000,00000150,00010001
34,34,0,00010009,00000001,00000000,00000150,00010001
35,35,0,00010009,00000001,00000000,00000150,00010001
36,36,0,00010009,00000001,00000000,00000150,00010001
37,37,0,00010009,00000001,00000000,00000150,00010001
38,38,0,00010009,00000001,00000000,00000150,00010001
39,39,0,00010009,00000001,00000000,00000150,00010001
40,40,0,00010009,00000001,00000000,00000150,00010001
41,41,0,00010009,00000001,00000000,00000150,00010001
42,42,0,00010009,00000001,00000000,00000150,00010001
43,43,0,00010009,00000001,00000000,00000150,00010001
44,44,0,00010009,00000001,00000000,00000150,00010001
45,45,0,00010009,00000001,00000000,00000150,00010001
46,46,0,00010009,00000001,00000000,00000150,00010001
47,47,0,00010009,00000001,00000000,00000150,00010001
48,48,0,00010009,00000001,00000000,00000150,00010001
49,49,0,00010009,00000001,00000000,00000150,00010001
50,50,0,00010009,00000001,00000000,00000150,00010001
51,51,0,00010009,00000001,00000000,00000150,00010001
52,52,0,00010009,00000001,00000000,00000150,00010001
53,53,0,00010009,00000001,00000000,00000150,00010001
54,54,0,00010009,00000001,00000000,00000150,00010001
55,55,0,00010009,00000001,00000000,00000150,00010001
56,56,0,00010009,00000001,00000000,00000150,00010001
57,57,0,00010009,00000001,00000000,00000150,00010001
58,58,0,00010009,00000001,00000000,00000150,00010001
59,59,0,00010009,00000001,00000000,00000150,00010001
60,60,0,00010009,00000001,00000000,00000150,00010001
61,61,0,00010009,00000001,00000000,00000150,00010001
62,62,0,00010009,00000001,00000000,00000150,00010001
63,63,0,00010009,00000001,00000000,00000150,00010001
64,64,0,00010009,00000001,00000000,00000150,00010001
65,65,0,00010009,00000001,00000000,00000150,00010001
66,66,0,00010009,00000001,00000000,00000150,00010001
67,67,0,00010009,00000001,00000000,00000150,00010001
68,68,0,00010009,00000001,00000000,00000150,00010001
69,69,0,00010009,00000001,00000000,00000150,00010001
70,70,0,00010009,00000001,00000000,00000150,00010001
71,71,0,00010009,00000001,00000000,00000150,00010001
72,72,0,00010009,00000001,00000000,00000150,00010001
73,73,0,00010009,00000001,00000000,00000150,00010001
74,74,0,00010009,00000001,00000000,00000150,00010001
75,75,0,00010009,00000001,00000000,00000150,00010001
76,76,0,00010009,00000001,00000000,00000150,00010001
77,77,0,00010009,00000001,00000000,00000150,00010001
78,78,0,00010009,00000001,00000000,00000150,00010001
79,79,0,00010009,00000001,00000000,00000150,00010001
80,80,0,00010009,00000001,00000000,00000150,00010001
81,81,0,00010009,00000001,00000000,00000150,00010001
82,82,0,00010009,00000001,00000000,00000150,00010001
83,83,0,00010009,00000001,00000000,00000150,00010001
84,84,0,00010009,00000001,00000000,00000150,00010001
85,85,0,00010009,00000001,00000000,00000150,00010001
86,86,0,00010009,00000001,00000000,00000150,00010001
87,87,0,00010009,00000001,00000000,00000150,00010001
88,88,0,00010009,00000001,00000000,00000150,00010001
89,89,0,00010009,00000001,00000000,00000150,00010001
90,90,0,00010009,00000001,00000000,00000150,00010001
91,91,0,00010009,00000001,00000000,00000150,00010001
92,92,0,00010009,00000001,00000000,00000150,00010001
93,93,0,00010009,00000001,00000000,00000150,00010001
94,94,0,00010009,00000001,00000000,00000150,00010001
95,95,0,00010009,00000001,00000000,00000150,00010001
96,96,0,00010009,00000001,00000000,00000150,00010001
97,97,0,00010009,00000001,00000000,00000150,00010001
98,98,0,00010009,00000001,00000000,00000150,00010001
99,99,0,00010009,00000001,00000000,00000150,00010001
100,100,0,00010009,00000001,00000000,00000150,00010001
101,101,0,00010009,00000001,00000000,00000150,00010001
102,102,0,00010009,00000001,00000000,00000150,00010001
103,103,0,00010009,00000001,00000000,00000150,00010001
104,104,0,00010009,00000001,00000000,00000150,00010001
105,105,0,00010009,00000001,00000000,00000150,00010001
106,106,0,00010009,00000001,00000000,00000150,00010001
107,107,0,00010009,00000001,00000000,00000150,00010001
108,108,0,00010009,00000001,00000000,00000150,00010001
109,109,0,00010009,00000001,00000000,00000150,00010001
110,110,0,00010009,00000001,00000000,00000150,00010001
111,111,0,00010009,00000001,00000000,00000150,00010001
112,112,0,00010009,00000001,00000000,00000150,00010001
113,113,0,00010009,00000001,00000000,00000150,00010001
114,114,0,00010009,00000001,00000000,00000150,00010001
115,115,0,00010009,00000001,00000000,00000150,00010001
116,116,0,00010009,00000001,00000000,00000150,00010001
117,117,0,00010009,00000001,00000000,00000150,00010001
118,118,0,00010009,00000001,00000000,00000150,00010001
119,119,0,00010009,00000001,00000000,00000150,00010001
120,120,0,00010009,00000001,00000000,00000150,00010001
121,121,0,00010009,00000001,00000000,00000150,00010001
122,122,0,00010009,00000001,00000000,00000150,00010001
123,123,0,00010009,00000001,00000000,00000150,00010001
124,124,0,00010009,00000001,00000000,00000150,00010001
125,125,0,00010009,00000001,00000000,00000150,00010001
126,126,0,00010009,00000001,00000000,00000150,00010001
127,127,0,00010009,00000001,00000000,00000150,00010001
128,128,0,00010009,00000001,00000000,00000150,00010001
129,129,0,00010009,00000001,00000000,00000150,00010001
130,130,0,00010009,00000001,00000000,00000150,00010001
131,131,0,00010009,00000001,00000000,00000150,00010001
132,132,0,00010009,00000001,00000000,00000150,00010001
133,133,0,00010009,00000001,00000000,00000150,00010001
134,134,0,00010009,00000001,00000000,00000150,00010001
135,135,0,00010009,00000001,00000000,00000150,00010001
136,136,0,00010009,00000001,00000000,00000150,00010001
137,137,0,00010009,00000001,00000000,00000150,00010001
138,138,0,00010009,00000001,00000000,00000150,00010001
139,139,0,00010009,00000001,00000000,00000150,00010001
140,140,0,00010009,00000001,00000000,00000150,00010001
141,141,0,00010009,00000001,00000000,00000150,00010001
142,142,0,00010009,00000001,00000000,00000150,00010001
143,143,0,00010009,00000001,00000000,00000150,00010001
144,144,0,00010009,00000001,00000000,00000150,00010001
145,145,0,00010009,00000001,00000000,00000150,00010001
146,146,0,00010009,00000001,00000000,00000150,00010001
147,147,0,00010009,00000001,00000000,00000150,00010001
148,148,0,00010009,00000001,00000000,00000150,00010001
149,149,0,00010009,00000001,00000000,00000150,00010001
150,150,0,00010009,00000001,00000000,00000150,00010001
151,151,0,00010009,00000001,00000000,00000150,00010001
152,152,0,00010009,00000001,00000000,00000150,00010001
153,153,0,00010009,00000001,00000000,00000150,00010001
154,154,0,00010009,00000001,00000000,00000150,00010001
155,155,0,00010009,00000001,00000000,00000150,00010001
156,156,0,00010009,00000001,00000000,00000150,00010001
157,157,0,00010009,00000001,00000000,00000150,00010001
158,158,0,00010009,00000001,00000000,00000150,00010001
159,159,0,00010009,00000001,00000000,00000150,00010001
160,160,0,00010009,00000001,00000000,00000150,00010001
161,161,0,00010009,00000001,00000000,00000150,00010001
162,162,0,00010009,00000001,00000000,00000150,00010001
163,163,0,00010009,00000001,00000000,00000150,00010001
164,164,0,00010009,00000001,00000000,00000150,00010001
165,165,0,00010009,00000001,00000000,00000150,00010001
166,166,0,00010009,00000001,00000000,00000150,00010001
167,167,0,00010009,00000001,00000000,00000150,00010001
168,168,0,00010009,00000001,00000000,00000150,00010001
169,169,0,00010009,00000001,00000000,00000150,00010001
170,170,0,00010009,00000001,00000000,00000150,00010001
171,171,0,00010009,00000001,00000000,00000150,00010001
172,172,0,00010009,00000001,00000000,00000150,00010001
173,173,0,00010009,00000001,00000000,00000150,00010001
174,174,0,00010009,00000001,00000000,00000150,00010001
175,175,0,00010009,00000001,00000000,00000150,00010001
176,176,0,00010009,00000001,00000000,00000150,00010001
177,177,0,00010009,00000001,00000000,00000150,00010001
178,178,0,00010009,00000001,00000000,00000150,00010001
179,179,0,00010009,00000001,00000000,00000150,00010001
180,180,0,00010009,00000001,00000000,00000150,00010001
181,181,0,00010009,00000001,00000000,00000150,00010001
182,182,0,00010009,00000001,00000000,00000150,00010001
183,183,0,00010009,00000001,00000000,00000150,00010001
184,184,0,00010009,00000001,00000000,00000150,00010001
185,185,0,00010009,00000001,00000000,00000150,00010001
186,186,0,00010009,00000001,00000000,00000150,00010001
187,187,0,00010009,00000001,00000000,00000150,00010001
188,188,0,00010009,00000001,00000000,00000150,00010001
189,189,0,00010009,00000001,00000000,00000150,00010001
190,190,0,00010009,00000001,00000000,00000150,00010001
191,191,0,00010009,00000001,00000000,00000150,00010001
192,192,0,00010009,00000001,00000000,00000150,00010001
193,193,0,00010009,00000001,00000000,00000150,00010001
194,194,0,00010009,00000001,00000000,00000150,00010001
195,195,0,00010009,00000001,00000000,00000150,00010001
196,196,0,00010009,00000001,00000000,00000150,00010001
197,197,0,00010009,00000001,00000000,00000150,00010001
198,198,0,00010009,00000001,00000000,00000150,00010001
199,199,0,00010009,00000001,00000000,00000150,00010001
200,200,0,00010009,00000001,00000000,00000150,00010001
201,201,0,00010009,00000001,00000000,00000150,00010001
202,202,0,00010009,00000001,00000000,00000150,00010001
203,203,0,00010009,00000001,00000000,00000150,00010001
204,204,0,00010009,00000001,00000000,00000150,00010001
205,205,0,00010009,00000001,00000000,00000150,00010001
206,206,0,00010009,00000001,00000000,00000150,00010001
207,207,0,00010009,00000001,00000000,00000150,00010001
208,208,0,00010009,00000001,00000000,00000150,00010001
209,209,0,00010009,00000001,00000000,00000150,00010001
210,210,0,00010009,00000001,00000000,00000150,00010001
211,211,0,00010009,00000001,00000000,00000150,00010001
212,212,0,00010009,00000001,00000000,00000150,00010001
213,213,0,00010009,00000001,00000000,00000150,00010001
214,214,0,00010009,00000001,00000000,00000150,00010001
215,215,0,00010009,00000001,00000000,00000150,00010001
216,216,0,00010009,00000001,00000000,00000150,00010001
217,217,0,00010009,00000001,00000000,00000150,00010001
218,218,0,00010009,00000001,00000000,00000150,00010001
219,219,0,00010009,00000001,00000000,00000150,00010001
220,220,0,00010009,00000001,00000000,00000150,00010001
221,221,0,00010009,00000001,00000000,00000150,00010001
222,222,0,00010009,00000001,00000000,00000150,00010001
223,223,0,00010009,00000001,00000000,00000150,00010001
224,224,0,00010009,00000001,00000000,00000150,00010001
225,225,0,00010009,00000001,00000000,00000150,00010001
226,226,0,00010009,00000001,00000000,00000150,00010001
227,227,0,00010009,00000001,00000000,00000150,00010001
228,228,0,00010009,00000001,00000000,00000150,00010001
229,229,0,00010009,00000001,00000000,00000150,00010001
230,230,0,00010009,00000001,00000000,00000150,00010001
231,231,0,00010009,00000001,00000000,00000150,00010001
232,232,0,00010009,00000001,00000000,00000150,00010001
233,233,0,00010009,00000001,00000000,00000150,00010001
234,234,0,00010009,00000001,00000000,00000150,00010001
235,235,0,00010009,00000001,00000000,00000150,00010001
236,236,0,00010009,00000001,00000000,00000150,00010001
237,237,0,00010009,00000001,00000000,00000150,00010001
238,238,0,00010009,00000001,00000000,00000150,00010001
239,239,0,00010009,00000001,00000000,00000150,00010001
240,240,0,00010009,00000001,00000000,00000150,00010001
241,241,0,00010009,00000001,00000000,00000150,00010001
242,242,0,00010009,00000001,00000000,00000150,00010001
243,243,0,00010009,00000001,00000000,00000150,00010001
244,244,0,00010009,00000001,00000000,00000150,00010001
245,245,0,00010009,00000001,00000000,00000150,00010001
246,246,0,00010009,00000001,00000000,00000150,00010001
247,247,0,00010009,00000001,00000000,00000150,00010001
248,248,0,00010009,00000001,00000000,00000150,00010001
249,249,0,00010009,00000001,00000000,00000150,00010001
250,250,0,00010009,00000001,00000000,00000150,00010001
251,251,0,00010009,00000001,00000000,00000150,00010001
252,252,0,00010009,00000001,00000000,00000150,00010001
253,253,0,00010009,00000001,00000000,00000150,00010001
254,254,0,00010009,00000001,00000000,00000150,00010001
255,255,0,00010009,00000001,00000000,00000150,00010001
256,256,0,00010009,00000001,00000000,00000150,00010001
257,257,0,00010009,00000001,00000000,00000150,00010001
258,258,0,00010009,00000001,00000000,00000150,00010001
259,259,0,00010009,00000001,00000000,00000150,00010001
260,260,0,00010009,00000001,00000000,00000150,00010001
261,261,0,00010009,00000001,00000000,00000150,00010001
262,262,0,00010009,00000001,00000000,00000150,00010001
263,263,0,00010009,00000001,00000000,00000150,00010001
264,264,0,00010009,00000001,00000000,00000150,00010001
265,265,0,00010009,00000001,00000000,00000150,00010001
266,266,0,00010009,00000001,00000000,00000150,00010001
267,267,0,00010009,00000001,00000000,00000150,00010001
268,268,0,00010009,00000001,00000000,00000150,00010001
269,269,0,00010009,00000001,00000000,00000150,00010001
270,270,0,00010009,00000001,00000000,00000150,00010001
271,271,0,00010009,00000001,00000000,00000150,00010001
272,272,0,00010009,00000001,00000000,00000150,00010001
273,273,0,00010009,00000001,00000000,00000150,00010001
274,274,0,00010009,00000001,00000000,00000150,00010001
275,275,0,00010009,00000001,00000000,00000150,00010001
276,276,0,00010009,00000001,00000000,00000150,00010001
277,277,0,00010009,00000001,00000000,00000150,00010001
278,278,0,00010009,00000001,00000000,00000150,00010001
279,279,0,00010009,00000001,00000000,00000150,00010001
280,280,0,00010009,00000001,00000000,00000150,00010001
281,281,0,00010009,00000001,00000000,00000150,00010001
282,282,0,00010009,00000001,00000000,00000150,00010001
283,283,0,00010009,00000001,00000000,00000150,00010001
284,284,0,00010009,00000001,00000000,00000150,00010001
285,285,0,00010009,00000001,00000000,00000150,00010001
286,286,0,00010009,00000001,00000000,00000150,00010001
287,287,0,00010009,00000001,00000000,00000150,00010001
288,288,0,00010009,00000001,00000000,00000150,00010001
289,289,0,00010009,00000001,00000000,00000150,00010001
290,290,0,00010009,00000001,00000000,00000150,00010001
291,291,0,00010009,00000001,00000000,00000150,00010001
292,292,0,00010009,00000001,00000000,00000150,00010001
293,293,0,00010009,00000001,00000000,00000150,00010001
294,294,0,00010009,00000001,00000000,00000150,00010001
295,295,0,00010009,00000001,00000000,00000150,00010001
296,296,0,00010009,00000001,00000000,00000150,00010001
297,297,0,00010009,00000001,00000000,00000150,00010001
298,298,0,00010009,00000001,00000000,00000150,00010001
299,299,0,00010009,00000001,00000000,00000150,00010001
300,300,0,00010009,00000001,00000000,00000150,00010001
301,301,0,00010009,00000001,00000000,00000150,00010001
302,302,0,00010009,00000001,00000000,00000150,00010001
303,303,0,00010009,00000001,00000000,00000150,00010001
304,304,0,00010009,00000001,00000000,00000150,00010001
305,305,0,00010009,00000001,00000000,00000150,00010001
306,306,0,00010009,00000001,00000000,00000150,00010001
307,307,0,00010009,00000001,00000000,00000150,00010001
308,308,0,00010009,00000001,00000000,00000150,00010001
309,309,0,00010009,00000001,00000000,00000150,00010001
310,310,0,00010009,00000001,00000000,00000150,00010001
311,311,0,00010009,00000001,00000000,00000150,00010001
312,312,0,00010009,00000001,00000000,00000150,00010001
313,313,0,00010009,00000001,00000000,00000150,00010001
314,314,0,00010009,00000001,00000000,00000150,00010001
315,315,0,00010009,00000001,00000000,00000150,00010001
316,316,0,00010009,00000001,00000000,00000150,00010001
317,317,0,00010009,00000001,00000000,00000150,00010001
318,318,0,00010009,00000001,00000000,00000150,00010001
319,319,0,00010009,00000001,00000000,00000150,00010001
320,320,0,00010009,00000001,00000000,00000150,00010001
321,321,0,00010009,00000001,00000000,00000150,00010001
322,322,0,00010009,00000001,00000000,00000150,00010001
323,323,0,00010009,00000001,00000000,00000150,00010001
324,324,0,00010009,00000001,00000000,00000150,00010001
325,325,0,00010009,00000001,00000000,00000150,00010001
326,326,0,00010009,00000001,00000000,00000150,00010001
327,327,0,00010009,00000001,00000000,00000150,00010001
328,328,0,00010009,00000001,00000000,00000150,00010001
329,329,0,00010009,00000001,00000000,00000150,00010001
330,330,0,00010009,00000001,00000000,00000150,00010001
331,331,0,00010009,00000001,00000000,00000150,00010001
332,332,0,00010009,00000001,00000000,00000150,00010001
333,333,0,00010009,00000001,00000000,00000150,00010001
334,334,0,00010009,00000001,00000000,00000150,00010001
335,335,0,00010009,00000001,00000000,00000150,00010001
336,336,0,00010009,00000001,00000000,00000150,00010001
337,337,0,00010009,00000001,00000000,00000150,00010001
338,338,0,00010009,00000001,00000000,00000150,00010001
339,339,0,00010009,00000001,00000000,00000150,00010001
340,340,0,00010009,00000001,00000000,00000150,00010001
341,341,0,00010009,00000001,00000000,00000150,00010001
342,342,0,00010009,00000001,00000000,00000150,00010001
343,343,0,00010009,00000001,00000000,00000150,00010001
344,344,0,00010009,00000001,00000000,00000150,00010001
345,345,0,00010009,00000001,00000000,00000150,00010001
346,346,0,00010009,00000001,00000000,00000150,00010001
347,347,0,00010009,00000001,00000000,00000150,00010001
348,348,0,00010009,00000001,00000000,00000150,00010001
349,349,0,00010009,00000001,00000000,00000150,00010001
350,350,0,00010009,00000001,00000000,00000150,00010001
351,351,0,00010009,00000001,00000000,00000150,00010001
352,352,0,00010009,00000001,00000000,00000150,00010001
353,353,0,00010009,00000001,00000000,00000150,00010001
354,354,0,00010009,00000001,00000000,00000150,00010001
355,355,0,00010009,00000001,00000000,00000150,00010001
356,356,0,00010009,00000001,00000000,00000150,00010001
357,357,0,00010009,00000001,00000000,00000150,00010001
358,358,0,00010009,00000001,00000000,00000150,00010001
359,359,0,00010009,00000001,00000000,00000150,00010001
