Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/system_ila_0/inst/probe0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX
0,0,0,ffffffff
1,1,0,ffffffff
2,2,0,ffffffff
3,3,0,ffffffff
4,4,0,ffffffff
5,5,0,ffffffff
6,6,0,ffffffff
7,7,0,ffffffff
8,8,0,ffffffff
9,9,0,ffffffff
10,10,0,ffffffff
11,11,0,ffffffff
12,12,0,ffffffff
13,13,0,ffffffff
14,14,0,ffffffff
15,15,0,ffffffff
16,16,0,ffffffff
17,17,0,ffffffff
18,18,0,ffffffff
19,19,0,ffffffff
20,20,0,ffffffff
21,21,0,ffffffff
22,22,0,ffffffff
23,23,0,ffffffff
24,24,0,ffffffff
25,25,0,ffffffff
26,26,0,ffffffff
27,27,0,ffffffff
28,28,0,ffffffff
29,29,0,ffffffff
30,30,0,ffffffff
31,31,0,ffffffff
32,32,0,ffffffff
33,33,0,ffffffff
34,34,0,ffffffff
35,35,0,ffffffff
36,36,0,ffffffff
37,37,0,ffffffff
38,38,0,ffffffff
39,39,0,ffffffff
40,40,0,ffffffff
41,41,0,ffffffff
42,42,0,ffffffff
43,43,0,ffffffff
44,44,0,ffffffff
45,45,0,ffffffff
46,46,0,ffffffff
47,47,0,ffffffff
48,48,0,ffffffff
49,49,0,ffffffff
50,50,0,ffffffff
51,51,0,ffffffff
52,52,0,ffffffff
53,53,0,ffffffff
54,54,0,ffffffff
55,55,0,ffffffff
56,56,0,ffffffff
57,57,0,ffffffff
58,58,0,ffffffff
59,59,0,ffffffff
60,60,0,ffffffff
61,61,0,ffffffff
62,62,0,ffffffff
63,63,0,ffffffff
64,64,0,ffffffff
65,65,0,ffffffff
66,66,0,ffffffff
67,67,0,ffffffff
68,68,0,ffffffff
69,69,0,ffffffff
70,70,0,ffffffff
71,71,0,ffffffff
72,72,0,ffffffff
73,73,0,ffffffff
74,74,0,ffffffff
75,75,0,ffffffff
76,76,0,ffffffff
77,77,0,ffffffff
78,78,0,ffffffff
79,79,0,ffffffff
80,80,0,ffffffff
81,81,0,ffffffff
82,82,0,ffffffff
83,83,0,ffffffff
84,84,0,ffffffff
85,85,0,ffffffff
86,86,0,ffffffff
87,87,0,ffffffff
88,88,0,ffffffff
89,89,0,ffffffff
90,90,0,ffffffff
91,91,0,ffffffff
92,92,0,ffffffff
93,93,0,ffffffff
94,94,0,ffffffff
95,95,0,ffffffff
96,96,0,ffffffff
97,97,0,ffffffff
98,98,0,ffffffff
99,99,0,ffffffff
100,100,0,ffffffff
101,101,0,ffffffff
102,102,0,ffffffff
103,103,0,ffffffff
104,104,0,ffffffff
105,105,0,ffffffff
106,106,0,ffffffff
107,107,0,ffffffff
108,108,0,ffffffff
109,109,0,ffffffff
110,110,0,ffffffff
111,111,0,ffffffff
112,112,0,ffffffff
113,113,0,ffffffff
114,114,0,ffffffff
115,115,0,ffffffff
116,116,0,ffffffff
117,117,0,ffffffff
118,118,0,ffffffff
119,119,0,ffffffff
120,120,0,ffffffff
121,121,0,ffffffff
122,122,0,ffffffff
123,123,0,ffffffff
124,124,0,ffffffff
125,125,0,ffffffff
126,126,0,ffffffff
127,127,0,ffffffff
128,128,0,ffffffff
129,129,0,ffffffff
130,130,0,ffffffff
131,131,0,ffffffff
132,132,0,ffffffff
133,133,0,ffffffff
134,134,0,ffffffff
135,135,0,ffffffff
136,136,0,ffffffff
137,137,0,ffffffff
138,138,0,ffffffff
139,139,0,ffffffff
140,140,0,ffffffff
141,141,0,ffffffff
142,142,0,ffffffff
143,143,0,ffffffff
144,144,0,ffffffff
145,145,0,ffffffff
146,146,0,ffffffff
147,147,0,ffffffff
148,148,0,ffffffff
149,149,0,ffffffff
150,150,0,ffffffff
151,151,0,ffffffff
152,152,0,ffffffff
153,153,0,ffffffff
154,154,0,ffffffff
155,155,0,ffffffff
156,156,0,ffffffff
157,157,0,ffffffff
158,158,0,ffffffff
159,159,0,ffffffff
160,160,0,ffffffff
161,161,0,ffffffff
162,162,0,ffffffff
163,163,0,ffffffff
164,164,0,ffffffff
165,165,0,ffffffff
166,166,0,ffffffff
167,167,0,ffffffff
168,168,0,ffffffff
169,169,0,ffffffff
170,170,0,ffffffff
171,171,0,ffffffff
172,172,0,ffffffff
173,173,0,ffffffff
174,174,0,ffffffff
175,175,0,ffffffff
176,176,0,ffffffff
177,177,0,ffffffff
178,178,0,ffffffff
179,179,0,ffffffff
180,180,0,ffffffff
181,181,0,ffffffff
182,182,0,ffffffff
183,183,0,ffffffff
184,184,0,ffffffff
185,185,0,ffffffff
186,186,0,ffffffff
187,187,0,ffffffff
188,188,0,ffffffff
189,189,0,ffffffff
190,190,0,ffffffff
191,191,0,ffffffff
192,192,0,ffffffff
193,193,0,ffffffff
194,194,0,ffffffff
195,195,0,ffffffff
196,196,0,ffffffff
197,197,0,ffffffff
198,198,0,ffffffff
199,199,0,ffffffff
200,200,0,ffffffff
201,201,0,ffffffff
202,202,0,ffffffff
203,203,0,ffffffff
204,204,0,ffffffff
205,205,0,ffffffff
206,206,0,ffffffff
207,207,0,ffffffff
208,208,0,ffffffff
209,209,0,ffffffff
210,210,0,ffffffff
211,211,0,ffffffff
212,212,0,ffffffff
213,213,0,ffffffff
214,214,0,ffffffff
215,215,0,ffffffff
216,216,0,ffffffff
217,217,0,ffffffff
218,218,0,ffffffff
219,219,0,ffffffff
220,220,0,ffffffff
221,221,0,ffffffff
222,222,0,ffffffff
223,223,0,ffffffff
224,224,0,ffffffff
225,225,0,ffffffff
226,226,0,ffffffff
227,227,0,ffffffff
228,228,0,ffffffff
229,229,0,ffffffff
230,230,0,ffffffff
231,231,0,ffffffff
232,232,0,ffffffff
233,233,0,ffffffff
234,234,0,ffffffff
235,235,0,ffffffff
236,236,0,ffffffff
237,237,0,ffffffff
238,238,0,ffffffff
239,239,0,ffffffff
240,240,0,ffffffff
241,241,0,ffffffff
242,242,0,ffffffff
243,243,0,ffffffff
244,244,0,ffffffff
245,245,0,ffffffff
246,246,0,ffffffff
247,247,0,ffffffff
248,248,0,ffffffff
249,249,0,ffffffff
250,250,0,ffffffff
251,251,0,ffffffff
252,252,0,ffffffff
253,253,0,ffffffff
254,254,0,ffffffff
255,255,0,ffffffff
256,256,0,ffffffff
257,257,0,ffffffff
258,258,0,ffffffff
259,259,0,ffffffff
260,260,0,ffffffff
261,261,0,ffffffff
262,262,0,ffffffff
263,263,0,ffffffff
264,264,0,ffffffff
265,265,0,ffffffff
266,266,0,ffffffff
267,267,0,ffffffff
268,268,0,ffffffff
269,269,0,ffffffff
270,270,0,ffffffff
271,271,0,ffffffff
272,272,0,ffffffff
273,273,0,ffffffff
274,274,0,ffffffff
275,275,0,ffffffff
276,276,0,ffffffff
277,277,0,ffffffff
278,278,0,ffffffff
279,279,0,ffffffff
280,280,0,ffffffff
281,281,0,ffffffff
282,282,0,ffffffff
283,283,0,ffffffff
284,284,0,ffffffff
285,285,0,ffffffff
286,286,0,ffffffff
287,287,0,ffffffff
288,288,0,ffffffff
289,289,0,ffffffff
290,290,0,ffffffff
291,291,0,ffffffff
292,292,0,ffffffff
293,293,0,ffffffff
294,294,0,ffffffff
295,295,0,ffffffff
296,296,0,ffffffff
297,297,0,ffffffff
