Sample in Buffer,Sample in Window,TRIGGER,pcie/design_1_i/myip_0_slv_reg0[31:0],pcie/design_1_i/myip_0_slv_reg1[31:0],pcie/design_1_i/to_slv_reg2_0_1[31:0],pcie/design_1_i/to_slv_reg3_0_1[31:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX
0,0,0,00020000,00000001,00010001,00000150
1,1,1,00000003,00000001,00010001,00000150
2,2,0,00000003,00000001,00010001,00000150
3,3,0,00000003,00000000,00010001,00000150
4,4,0,00000003,00000000,00010001,00000150
5,5,0,00000003,00000000,00010001,00000150
6,6,0,00000003,00000000,00010001,00000150
7,7,0,00000003,00000000,00010001,00000150
8,8,0,00000003,00000000,00010001,00000150
9,9,0,00000003,00000000,00010001,00000150
10,10,0,00000003,00000000,00010001,00000150
11,11,0,00000003,00000000,00010001,00000150
12,12,0,00000003,00000000,00010001,00000150
13,13,0,00000003,00000000,00010001,00000150
14,14,0,00000003,00000000,00010001,00000150
15,15,0,00000003,00000000,00010001,00000150
16,16,0,00000003,00000000,00010001,00000150
17,17,0,00000003,00000000,00010001,00000150
18,18,0,00000003,00000000,00010001,00000150
19,19,0,00000003,00000000,00010001,00000150
20,20,0,00000003,00000000,00010001,00000150
21,21,0,00000003,00000000,00010001,00000150
22,22,0,00000003,00000000,00010001,00000150
23,23,0,00000003,00000000,00010001,00000150
24,24,0,00000003,00000000,00010001,00000150
25,25,0,00000003,00000000,00010001,00000150
26,26,0,00000003,00000000,00010001,00000150
27,27,0,00000003,00000000,00010001,00000150
28,28,0,00000003,00000000,00010001,00000150
29,29,0,00000003,00000000,00010001,00000150
30,30,0,00000003,00000000,00010001,00000150
31,31,0,00000003,00000000,00010001,00000150
32,32,0,00000003,00000000,00010001,00000150
33,33,0,00000003,00000000,00010001,00000150
34,34,0,00000003,00000000,00010001,00000150
35,35,0,00000003,00000000,00010001,00000150
36,36,0,00000003,00000000,00010001,00000150
37,37,0,00000003,00000000,00010001,00000150
38,38,0,00000003,00000000,00010001,00000150
39,39,0,00000003,00000000,00010001,00000150
40,40,0,00000003,00000000,00010001,00000150
41,41,0,00000003,00000000,00010001,00000150
42,42,0,00000003,00000000,00010001,00000150
43,43,0,00000003,00000000,00010001,00000150
44,44,0,00000003,00000000,00010001,00000150
45,45,0,00000003,00000000,00010001,00000150
46,46,0,00000003,00000000,00010001,00000150
47,47,0,00000003,00000000,00010001,00000150
48,48,0,00000003,00000000,00010001,00000150
49,49,0,00000003,00000000,00010001,00000150
50,50,0,00000003,00000000,00010001,00000150
51,51,0,00000003,00000000,00010001,00000150
52,52,0,00000003,00000000,00010001,00000150
53,53,0,00000003,00000000,00010001,00000150
54,54,0,00000003,00000000,00010001,00000150
55,55,0,00000003,00000000,00010001,00000150
56,56,0,00000003,00000000,00010001,00000150
57,57,0,00000003,00000000,00010001,00000150
58,58,0,00000003,00000000,00010001,00000150
59,59,0,00000003,00000000,00010001,00000150
60,60,0,00000003,00000000,00010001,00000150
61,61,0,00000003,00000000,00010001,00000150
62,62,0,00000003,00000000,00010001,00000150
63,63,0,00000003,00000000,00010001,00000150
64,64,0,00000003,00000000,00010001,00000150
65,65,0,00000003,00000000,00010001,00000150
66,66,0,00000003,00000000,00010001,00000150
67,67,0,00000003,00000000,00010001,00000150
68,68,0,00000003,00000000,00010001,00000150
69,69,0,00000003,00000000,00010001,00000150
70,70,0,00000003,00000000,00010001,00000150
71,71,0,00000003,00000000,00010001,00000150
72,72,0,00000003,00000000,00010001,00000150
73,73,0,00000003,00000000,00010001,00000150
74,74,0,00000003,00000000,00010001,00000150
75,75,0,00000003,00000000,00010001,00000150
76,76,0,00000003,00000000,00010001,00000150
77,77,0,00000003,00000000,00010001,00000150
78,78,0,00000003,00000000,00010001,00000150
79,79,0,00000003,00000000,00010001,00000150
80,80,0,00000003,00000000,00010001,00000150
81,81,0,00000003,00000000,00010001,00000150
82,82,0,00000003,00000000,00010001,00000150
83,83,0,00000003,00000000,00010001,00000150
84,84,0,00000003,00000000,00010001,00000150
85,85,0,00000003,00000000,00010001,00000150
86,86,0,00000003,00000000,00010001,00000150
87,87,0,00000003,00000000,00010001,00000150
88,88,0,00000003,00000000,00010001,00000150
